stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_street,stop_city,stop_region,stop_postcode
1398,MOGADISCIO 11/SALITA MERMI,,44.439926,8.982233,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1399,MOGADISCIO 12/VAL D'AVETO,,44.441105,8.985688,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1400,TOMMASEO/SCALINATA BORGHESE,,44.401920,8.954452,,,Piazza Tommaseo,Genoa,Regione Liguria,16100
1401,MOGADISCIO 2/VAL D'AVETO,,44.440948,8.985451,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1402,MOGADISCIO 3/SALITA MERMI,,44.439789,8.981931,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1403,MOGADISCIO 5/LOCALITA' MERMI,,44.440384,8.981577,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1404,MOGADISCIO 6/SCUOLE,,44.441257,8.980520,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1405,MOGADISCIO 7/ROCCHE DI BAVARI,,44.440529,8.978654,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1406,MOGADISCIO 8/GIACALONE,,44.440029,8.976730,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1407,MOGADISCIO 9/BAIARDO,,44.437988,8.975063,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1408,MOGADISCIO 10/MULINO,,44.436939,8.972937,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1409,MOGADISCIO 11/PASSO BUGGI,,44.436123,8.970095,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1410,MOGADISCIO 12/SALITA TERPI,,44.436142,8.966417,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1411,MOGADISCIO 13/MONTESIGNANO,,44.437965,8.966416,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1412,TERPI/MOGADISCIO,,44.438984,8.966261,,,Via Terpi,Genoa,Regione Liguria,16100
1413,BLIGNY/CENTRO COMMERCIALE,,44.439587,8.964705,,,Piazzale Bligny,Genoa,Regione Liguria,16100
1414,DALMAZIA 2/GUGLIELMETTI,,44.438389,8.963446,,,Lungobisagno Dalmazia,Genoa,Regione Liguria,16100
1415,PARENZO/PONTE CAMPANELLA,,44.422523,8.947989,,,Piazzale Parenzo,Genoa,Regione Liguria,16100
1416,MANDOLI/FASSICOMO,,44.420689,8.947995,,,Via Rino Mandoli,Genoa,Regione Liguria,16100
1417,MARASSI/STADIO,,44.417820,8.949100,,,Piazzale Marassi,Genoa,Regione Liguria,16100
1418,TERPI 2/FARMACIA,,44.439468,8.967086,,,Via Terpi,Genoa,Regione Liguria,16100
1419,TERPI 3/FAMEIANO,,44.439587,8.967876,,,Via Terpi,Genoa,Regione Liguria,16100
1420,TERPI 4/BAILO,,44.438484,8.967878,,,Via Terpi,Genoa,Regione Liguria,16100
1421,TERPI 5/PAL PICCOLO,,44.437222,8.967582,,,Via Aldo Furlani,Genoa,Regione Liguria,16100
1422,FURLANI/MOGADISCIO,,44.436272,8.969073,,,Via Aldo Furlani,Genoa,Regione Liguria,16100
1423,MERLO/EDERA,,44.419991,8.967166,,,Largo Augusto Merlo,Genoa,Regione Liguria,16100
1424,PINETTI 1/PORTAZZA,,44.420437,8.972170,,,Via Piero Pinetti,Genoa,Regione Liguria,16100
1425,PINETTI 2/GINESTRATO,,44.421497,8.974265,,,Via Piero Pinetti,Genoa,Regione Liguria,16100
1426,DANEO 1/DONATI,,44.422943,8.976748,,,Via Giovanni Daneo,Genoa,Regione Liguria,16100
1427,DANEO 2/PEDEGOLI,,44.425476,8.979206,,,Via Giovanni Daneo,Genoa,Regione Liguria,16100
1428,FONTANAROSSA 1/PORTAZZA,,44.424110,8.976662,,,Via Susanna Fontanarossa,Genoa,Regione Liguria,16100
1429,FONTANAROSSA 2/COSTA DEI ZINI,,44.423252,8.975568,,,Via Susanna Fontanarossa,Genoa,Regione Liguria,16100
1430,FONTANAROSSA 3/SALITA CHIESA,,44.422638,8.973093,,,Via Susanna Fontanarossa,Genoa,Regione Liguria,16100
1431,CHIESA DI QUEZZI/CAPOLINEA,,44.422668,8.972284,,,Piazza di Santa Maria,Genoa,Regione Liguria,16100
1432,FONTANAROSSA 1/SALITA CHIESA,,44.422680,8.973443,,,Via Susanna Fontanarossa,Genoa,Regione Liguria,16100
1433,FONTANAROSSA 2/COSTA DEI ZINI,,44.423351,8.975809,,,Via Susanna Fontanarossa,Genoa,Regione Liguria,16100
1434,FONTANAROSSA 3/PORTAZZA,,44.424110,8.976781,,,Via Susanna Fontanarossa,Genoa,Regione Liguria,16100
1435,DANEO 1/PEDEGOLI,,44.424992,8.978786,,,Via Giovanni Daneo,Genoa,Regione Liguria,16100
1436,DANEO 2/DONATI,,44.422626,8.976222,,,Via Giovanni Daneo,Genoa,Regione Liguria,16100
1437,PINETTI 1/GINESTRATO,,44.421482,8.974080,,,Via Piero Pinetti,Genoa,Regione Liguria,16100
